fund_identifier,funds,fees,fund_company,,,,,
FU893BRUT,Global Fixed Income (PIMCO),0.01168,Industrial Alliance,,,,,
FU111BRUT,Floating Rate Bank Loan (AlphaFixe),0.01288,Industrial Alliance,,,,,
FU240BRUT,Diversified Security,0.00853,Industrial Alliance,,,,,
FU889BRUT,Balanced Moderate Index (BlackRock),0.00777,Industrial Alliance,,,,,
FU040BRUT,Diversified,0.00853,Industrial Alliance,,,,,
FU751BRUT,Balanced (Beutel Goodman),0.00973,Industrial Alliance,,,,,
FU463BRUT,Balanced (Jarislowsky),0.00937,Industrial Alliance,,,,,
FU944BRUT,Sustainable Balanced,0.01032,Industrial Alliance,,,,,
FU380BRUT,Balanced Growth (MFS),0.00913,Industrial Alliance,,,,,
FU522BRUT,Balanced (PH&N),0.00963,Industrial Alliance,,,,,
FU250BRUT,Diversified Opportunity,0.00853,Industrial Alliance,,,,,
FU462BRUT,Fidelity Canadian Asset Allocation,0.01163,Industrial Alliance,,,,,
FU723BRUT,Canadian Equity Index (BlackRock),0.00718,Industrial Alliance,,,,,
FU160BRUT,Dividend,0.00853,Industrial Alliance,,,,,
FU887BRUT,Canadian Dividend (Beutel Goodman),0.01123,Industrial Alliance,,,,,
FU888BRUT,Canadian Equity Low Volatility (TD),0.00863,Industrial Alliance,,,,,
FU341BRUT,Fundamental Canadian Equity (Beutel Goodman),0.01053,Industrial Alliance,,,,,
FU633BRUT,Canadian Equity Value (PH&N),0.00973,Industrial Alliance,,,,,
FU871BRUT,Fidelity Canadian Focused Equity,0.01013,Industrial Alliance,,,,,
FU862BRUT,Fidelity Canadian Systematic Equity,0.00993,Industrial Alliance,,,,,
FU464BRUT,Canadian Equity Growth,0.00853,Industrial Alliance,,,,,
FU899BRUT,Canadian Equity Q Growth (CC&L),0.01076,Industrial Alliance,,,,,
FU593BRUT,Canadian Equity (Fiera Capital),0.0092,Industrial Alliance,,,,,
FU384BRUT,Canadian Ethical Equity Fossil Fuel Free (Fiera Capital),0.00974,Industrial Alliance,,,,,
FU488BRUT,Canadian Equity (Jarislowsky),0.00937,Industrial Alliance,,,,,
FU385BRUT,Canadian Equity Fossil Fuel Free (Jarislowsky),0.00957,Industrial Alliance,,,,,
FU360BRUT,Canadian Equity (MFS),0.00913,Industrial Alliance,,,,,
FU270BRUT,Fidelity True NorthR,0.01153,Industrial Alliance,,,,,
FU870BRUT,Canadian Equity Small Cap,0.00953,Industrial Alliance,,,,,
FU541BRUT,Canadian Equity Small Cap (QV),0.01195,Industrial Alliance,,,,,
FU876BRUT,Global Equity Index ACWI (BlackRock),0.00862,Industrial Alliance,,,,,
FU707BRUT,Global Equity,0.00983,Industrial Alliance,,,,,
FU886BRUT,Global Equity Low Volatility ACWI (TD),0.00893,Industrial Alliance,,,,,
FU351BRUT,Fidelity Global Low Volatility Equity,0.00993,Industrial Alliance,,,,,
FU754BRUT,Global Equity (Sprucegrove),0.01353,Industrial Alliance,,,,,
FU342BRUT,Global Equity (Burgundy),0.01223,Industrial Alliance,,,,,
FU358BRUT,Global Equity Opportunistic Value (Wellington),0.01203,Industrial Alliance,,,,,
FU945BRUT,Climate Strategy (Wellington),0.01203,Industrial Alliance,,,,,
FU386BRUT,Global Equity Fossil Fuel Free (Jarislowsky),0.01106,Industrial Alliance,,,,,
FU390BRUT,Global Research Equity (MFS),0.01273,Industrial Alliance,,,,,
FU456BRUT,Global Equity (Walter Scott),0.01253,Industrial Alliance,,,,,
FU724BRUT,Global Equity (PH&N),0.01173,Industrial Alliance,,,,,
FU641BRUT,Global Equity Growth (T. Rowe Price),0.01333,Industrial Alliance,,,,,
FU331BRUT,Global Equity (Baillie Gifford),0.01243,Industrial Alliance,,,,,
FU387BRUT,Global Stewardship Equity (Baillie Gifford),0.01243,Industrial Alliance,,,,,
FU781BRUT,Global Equity Small Cap (Fisher),0.01543,Industrial Alliance,,,,,
FU609BRUT,Global Equity Small Cap (Global Alpha),0.01643,Industrial Alliance,,,,,
FU300BRUT,International Equity Index (BlackRock),0.00777,Industrial Alliance,,,,,
FU706BRUT,International Equity,0.00853,Industrial Alliance,,,,,
FU483BRUT,International Equity (Jarislowsky),0.01358,Industrial Alliance,,,,,
FU467BRUT,International Equity (MFS),0.01283,Industrial Alliance,,,,,
FU760BRUT,U.S. Equity Index (BlackRock),0.00718,Industrial Alliance,,,,,
FU895BRUT,U.S. Equity Index Non-Registered (BlackRock),0.00717,Industrial Alliance,,,,,
FU518BRUT,U.S. Dividend Growth,0.00983,Industrial Alliance,,,,,
FU705BRUT,U.S. Equity,0.00853,Industrial Alliance,,,,,
FU512BRUT,U.S. Equity (Jarislowsky),0.00937,Industrial Alliance,,,,,
FU513BRUT,U.S. Equity Core (MFS),0.01113,Industrial Alliance,,,,,
FU233BRUT,Thematic Innovation,0.00903,Industrial Alliance,,,,,
FU642BRUT,U.S. Large Cap Core Growth Equity (T. Rowe Price),0.01253,Industrial Alliance,,,,,
FU898BRUT,Emerging Markets Equity Index (BlackRock),0.00878,Industrial Alliance,,,,,
FU122BRUT,Emerging Markets (abrdn),0.01748,Industrial Alliance,,,,,
FU758BRUT,Emerging Markets (Templeton),0.01653,Industrial Alliance,,,,,
FU332BRUT,Emerging Markets (Baillie Gifford),0.01443,Industrial Alliance,,,,,
FU491BRUT,Balanced-Risk Allocation (Invesco),0.01213,Industrial Alliance,,,,,
FU896BRUT,Global Developed Real Estate Index (BlackRock),0.00826,Industrial Alliance,,,,,
FU540BRUT,Fidelity Global Real Estate,0.01253,Industrial Alliance,,,,,
FU897BRUT,Global Infrastructure Equity Index (BlackRock),0.00854,Industrial Alliance,,,,,
FU757BRUT,Global Infrastructure (Lazard),0.01443,Industrial Alliance,,,,,
FU441BRUT,Commercial Mortgage (Addenda),0.01116,Industrial Alliance,,,,,
FU152BRUT,Global Direct Real Estate - Portfolios (UBS),0.01238,Industrial Alliance,,,,,
FU153BRUT,Global Direct Real Estate - 100% (UBS),0.01263,Industrial Alliance,,,,,
FU884BRUT,LifePath Retirement Index I (BlackRock),0.00866,Industrial Alliance,,,,,
FU879BRUT,LifePath 2025 Index (BlackRock),0.00872,Industrial Alliance,,,,,
FU880BRUT,LifePath 2030 Index (BlackRock),0.0088,Industrial Alliance,,,,,
FU881BRUT,LifePath 2035 Index (BlackRock),0.00888,Industrial Alliance,,,,,
FU882BRUT,LifePath 2040 Index (BlackRock),0.00894,Industrial Alliance,,,,,
FU883BRUT,LifePath 2045 Index (BlackRock),0.00898,Industrial Alliance,,,,,
FU894BRUT,LifePath 2050 Index (BlackRock),0.009,Industrial Alliance,,,,,
FU912BRUT,LifePath 2055 Index (BlackRock),0.00901,Industrial Alliance,,,,,
FU927BRUT,LifePath 2060 Index (BlackRock),0.00909,Industrial Alliance,,,,,
FU949BRUT,LifePath 2065 Index (BlackRock),0.00909,Industrial Alliance,,,,,
FU411BRUT,Fidelity ClearPath Income,0.01113,Industrial Alliance,,,,,
FU412BRUT,Fidelity ClearPath 2020,0.01138,Industrial Alliance,,,,,
FU413BRUT,Fidelity ClearPath 2025,0.01138,Industrial Alliance,,,,,
FU414BRUT,Fidelity ClearPath 2030,0.01163,Industrial Alliance,,,,,
FU415BRUT,Fidelity ClearPath 2035,0.01163,Industrial Alliance,,,,,
FU416BRUT,Fidelity ClearPath 2040,0.01163,Industrial Alliance,,,,,
FU417BRUT,Fidelity ClearPath 2045,0.01163,Industrial Alliance,,,,,
FU418BRUT,Fidelity ClearPath 2050,0.01163,Industrial Alliance,,,,,
FU419BRUT,Fidelity ClearPath 2055,0.01163,Industrial Alliance,,,,,
FU721BRUT,Fidelity ClearPath 2060,0.01153,Industrial Alliance,,,,,
FU442BRUT,Private Debt (TD),0.01093,Industrial Alliance,,,,,
FU443BRUT,Global Direct Infrastructure - 100% (IFM),0.00823,Industrial Alliance,,,,,
