fund_identifier,funds,fees,fund_company
CP10,ClearPath 2010 (Fidelity),0.007269,Canada Life
CP15,ClearPath 2015 (Fidelity),0.007269,Canada Life
CP20,ClearPath 2020 (Fidelity),0.007269,Canada Life
CP25,ClearPath 2025 (Fidelity),0.007297,Canada Life
CP30,ClearPath 2030 (Fidelity),0.007319,Canada Life
CP35,ClearPath 2035 (Fidelity),0.007342,Canada Life
CP40,ClearPath 2040 (Fidelity),0.007373,Canada Life
CP45,ClearPath 2045 (Fidelity),0.00737,Canada Life
CP50,ClearPath 2050 (Fidelity),0.007363,Canada Life
CP55,ClearPath 2055 (Fidelity),0.007368,Canada Life
CP60,ClearPath 2060 (Fidelity),0.007348,Canada Life
CPBLW,Canadian Core Plus Bond (LW),0.00551,Canada Life
CPBPH,Canadian Core Plus Bond (PH&N),0.00603,Canada Life
CPIF,ClearPath Income (Fidelity),0,Canada Life
CVDY,Canadian Value (FGP),0.00533,Canada Life
DYPF,Partners (Dynamic),0.00913,Canada Life
EMP,Emerging Markets (Putnam),0.00883,Canada Life
AEMB,American Equity (MFS),0.00953,Canada Life
AGGE,Growth Equity (AGF),0.00683,Canada Life
AMDEF,American Disciplined Equity (Fidelity),0.00953,Canada Life
BALBG,Balanced Global (Beutel Goodman),0.00593,Canada Life
BALJF,Balanced (Jarislowsky Fraser)*,0.0054,Canada Life
BALSR,Balanced (SRA),0.00727,Canada Life
BALTA,Balanced (CIBC Global AM)*,0,Canada Life
GEMA,Global Equity (Mawer),0.008537,Canada Life
GEMB,Global Equity (MFS),0.00953,Canada Life
GES,Global Equity (Sprucegrove),0.008688,Canada Life
GGERP,Global Growth Equity (T Rowe Price),0.00893,Canada Life
GGR,Global Growth (Renaissance),0.00933,Canada Life
GINFL,Global Infrastr Equity (Mackenzie),0.00583,Canada Life
GLEQC,Global Equity (CLAM),0.00583,Canada Life
GRAF,US Focused Stock (Fidelity),0.00933,Canada Life
GSCMK,Global Small-Mid Cap Equity (Mackenzie),0.007665,Canada Life
GSRR,Global Sectors (Renaissance),0.00933,Canada Life
H15,Harmonized 2015 Retirement (PSG),0.00437,Canada Life
H20,Harmonized 2020 (PSG),0.00437,Canada Life
H25,Harmonized 2025 (PSG),0.00437,Canada Life
H30,Harmonized 2030 (PSG),0.00437,Canada Life
H35,Harmonized 2035 (PSG),0.00437,Canada Life
H40,Harmonized 2040 (PSG),0.00437,Canada Life
H45,Harmonized 2045 (PSG),0.00437,Canada Life
H55,Harmonized 2055 (PSG),0.00437,Canada Life
H60,Harmonized 2060 (PSG),0.00437,Canada Life
HCEPS,Harmonized Canadian Equity (PSG),0.00487,Canada Life
HFEPS,Harmonized Foreign Equity (PSG),0.005424,Canada Life
HFIPS,Harmonized Fixed Income (PSG),0.00387,Canada Life
HSEPS,Harmonized Special Equity (PSG),0.005506,Canada Life
HY20,Harmonized Conservative 2020 (PSG),0,Canada Life
HY25,Harmonized Conservative 2025 (PSG),0,Canada Life
HY30,Harmonized Conservative 2030 (PSG),0,Canada Life
HY35,Harmonized Conservative 2035 (PSG),0,Canada Life
HY40,Harmonized Conservative 2040 (PSG),0,Canada Life
HY50,Harmonized Conservative 2050 (PSG),0,Canada Life
HY55,Harmonized Conservative 2055 (PSG),0,Canada Life
HY60,Harmonized Conservative 2060 (PSG),0,Canada Life
HZ20,Harmonized Aggressive 2020 (PSG),0,Canada Life
HZ25,Harmonized Aggressive 2025 (PSG),0,Canada Life
HZ30,Harmonized Aggressive 2030 (PSG),0,Canada Life
HZ35,Harmonized Aggressive 2035 (PSG),0,Canada Life
HZ40,Harmonized Aggressive 2040 (PSG),0,Canada Life
HZ45,Harmonized Aggressive 2045 (PSG),0,Canada Life
HZ50,Harmonized Aggressive 2050 (PSG),0,Canada Life
HZ55,Harmonized Aggressive 2055 (PSG),0,Canada Life
HZ60,Harmonized Aggressive 2060 (PSG),0,Canada Life
IEJF,International Equity (Jarislowsky Fraser),0.00938,Canada Life
IEMA,International Equity (Mawer),0.008584,Canada Life
IEMB,International Equity (MFS),0.00973,Canada Life
IEMER,Socially Responsible Intl Equity (NEI),0.01273,Canada Life
IES,International Equity (Setanta),0.00583,Canada Life
IESR,International Equity Q (CC&L),0.01402,Canada Life
ISMK,International Equity (Mackenzie),0.006651,Canada Life
JPM25,Sustainable TD 2025 (JPM),0,Canada Life
JPM30,Sustainable TD 2030 (JPM),0,Canada Life
JPM40,Sustainable TD 2040 (JPM),0,Canada Life
JPM45,Sustainable TD 2045 (JPM),0,Canada Life
JPM50,Sustainable TD 2050 (JPM),0,Canada Life
JPM55,Sustainable TD 2055 (JPM),0,Canada Life
JPM60,Sustainable TD 2060 (JPM),0,Canada Life
JPMIN,Sustainable Income (JPM),0,Canada Life
JSMER,Socially Responsible Cdn Equity (NEI),0.00913,Canada Life
LADPO,Advanced Portfolio (PSG),0.005574,Canada Life
LAEM,US Growth (Putnam),0.00683,Canada Life
LAGAG,American Growth (AGF),0.00833,Canada Life
LAGPO,Aggressive Portfolio (PSG),0.005575,Canada Life
LAGPR,Aggressive Profile (PSG),0.005585,Canada Life
LBABG,Balanced (Beutel Goodman),0.00533,Canada Life
LBAPO,Balanced Portfolio (PSG),0.00558,Canada Life
LBAPR,Balanced Profile (PSG),0.005553,Canada Life
LBIG,Balanced Index (Mackenzie),0.00333,Canada Life
LBMK,Global Strategic Income (Mackenzie),0.00533,Canada Life
LBOBG,Bond (Beutel Goodman),0.00508,Canada Life
LCBG,Cdn Core Fixed Income (Mackenzie),0.00383,Canada Life
LCBIL,Cdn Bond Universe Index (Mackenzie),0.00333,Canada Life
LCBM,Strategic Income (Mackenzie),0.005598,Canada Life
LCEG,Canadian All Cap Growth (Mackenzie),0.00483,Canada Life
LCEGM,Canadian Core Growth (Mackenzie),0.005085,Canada Life
LCEMO,Canadian Equity (Montrusco Bolton),0.00803,Canada Life
LCFPR,Advanced Profile (PSG),0.005575,Canada Life
LCOMK,Global Low Volatility (ILIM),0.00583,Canada Life
LCOPO,Conservative Portfolio (PSG),0.005586,Canada Life
LCOPR,Conservative Profile (PSG),0.005558,Canada Life
LCRAG,Global Resources (Mackenzie),0.00483,Canada Life
LDG,Strategic Income III (Mackenzie),0.00533,Canada Life
LDVDG,Dividend (Mackenzie),0.00483,Canada Life
LDVDL,Cdn Diversified Divid (Mackenzie),0.00483,Canada Life
LDVDM,Canadian Large Cap Dividend (Mackenzie),0.005087,Canada Life
LEBG,Cdn Growth Balanced (Mackenzie),0.00533,Canada Life
LEES,European Equity (Setanta),0.00583,Canada Life
LEMK,Equity (Mackenzie),0.00483,Canada Life
LGBG,Government Bond (Mackenzie),0.00383,Canada Life
LGEL,Global Equity (Putnam),0.00683,Canada Life
LGEM,Global Growth (Mackenzie),0.006155,Canada Life
LGIMK,Canadian Balanced Ivy (Mackenzie),0.00558,Canada Life
FEMK,Ivy Foreign Equity (Mackenzie),0.006137,Canada Life
FIMB,Fixed Income (MFS),0.00468,Canada Life
FRIMK,Floating Rate Income (Mackenzie),0.005035,Canada Life
GDIVS,Global Dividend (Setanta),0.00583,Canada Life
GECG,Global Equity (Capital Group),0.00963,Canada Life
GEFPH,Global Equity Focus (PH&N),0.005086176,Canada Life
LLBON,Core Bond (Mackenzie),0.00383,Canada Life
LLCMK,Canadian Low Volatility (Mackenzie),0.00483,Canada Life
LLCNE,Canadian Value Equity (Mackenzie),0.00483,Canada Life
LLDIV,Strategic Income II (Mackenzie),0.00533,Canada Life
LLEG,SRI Canadian Equity (Mackenzie),0.00483,Canada Life
LLEMS,Emerging Markets (Mackenzie),0.00927,Canada Life
LLINE,International Equity (JPMorgan),0.00683,Canada Life
LLMCG,US Mid Cap (Mackenzie),0.00633,Canada Life
LLMON,Canadian Money Market (Mackenzie),0.00333,Canada Life
LLMRT,Mortgage (Canada Life),0.00633,Canada Life
LLSTG,Science & Technology (Mackenzie),0.00533,Canada Life
LLUSE,US Core Growth (Mackenzie),0.00533,Canada Life
LMCCG,Mid Cap Canada (Mackenzie),0.00583,Canada Life
LMG,Commercial Mortgage (Canada Life),0.00633,Canada Life
LMOPO,Moderate Portfolio (PSG),0.005593,Canada Life
LMOPR,Moderate Profile (PSG),0.005564,Canada Life
LNRM,Global Resource (Mackenzie),0.006162,Canada Life
LPMM,Precious Metals (Mackenzie),0.006159,Canada Life
LREG,Real Estate (GWLRA),0.00783,Canada Life
LSCMK,Smaller Company (Mackenzie),0.00583,Canada Life
LSGAG,Far East (CLAM),0.00583,Canada Life
LTBL,Long Term Bond (Canada Life),0.00383,Canada Life
LUSEG,US Large Cap Equity (Mackenzie),0.00533,Canada Life
LUSET,US Equity Index (TDAM),0.00402,Canada Life
MFS25,LifePlan 2025 (MFS),0,Canada Life
MFS30,LifePlan 2030 (MFS),0,Canada Life
MFS35,LifePlan 2035 (MFS),0,Canada Life
MFS40,LifePlan 2040 (MFS),0,Canada Life
MFS45,LifePlan 2045 (MFS),0,Canada Life
MFS50,LifePlan 2050 (MFS),0,Canada Life
MFS55,LifePlan 2055 (MFS),0,Canada Life
MFS60,LifePlan 2060 (MFS),0,Canada Life
MFS65,LifePlan 2065 (MFS),0,Canada Life
MFSRT,LifePlan Retirement (MFS),0,Canada Life
MTGE,Growth Equity (Montrusco Bolton),0.00583,Canada Life
NABMK,North American High Yield Bond (Mackenzie),0.00483,Canada Life
PBA,North American Balanced (Mackenzie),0.00533,Canada Life
PCB,Balanced (CC&L),0.006941,Canada Life
PCE,Canadian Equity (CC&L),0.005974,Canada Life
PSB,Balanced Core (Fiera Capital),0.00583,Canada Life
PSE,Equity (Fiera Capital),0.00583,Canada Life
RRBP,Real Return Bond (Canada Life),0.00383,Canada Life
S002,Canadian Equity (Mackenzie),0.00483,Canada Life
S014,Strategic Income IV (Mackenzie),0.00483,Canada Life
S019,Core Plus Bond (Mackenzie),0.00433,Canada Life
S029,Money Market (LK) (Mackenzie),0.00333,Canada Life
S034,Global Equity (Setanta),0.00583,Canada Life
S036,Foreign Bond (CLAM),0.00583,Canada Life
S038,Far East Equity (CLAM),0.00783,Canada Life
S066,Global Equity (Montrusco Bolton),0.00673,Canada Life
S079,Canadian Bond Index (TDAM),0.00397,Canada Life
S080,Balanced Index (TDAM),0.0042,Canada Life
S103,Canadian Equity (Bissett),0.00683,Canada Life
S104,Balanced (Templeton),0.00683,Canada Life
S105,Canadian Small Cap Equity (Bissett),0.01233,Canada Life
S120,Canadian Equity Index (TDAM),0.00397,Canada Life
S123,Canadian Equity (Fiera Capital),0.00629,Canada Life
S124,Balanced (Fiera Capital),0.00619,Canada Life
S147,Balanced Pension Trust (PH&N),0.00593,Canada Life
S149,Bond (PH&N),0.00553,Canada Life
S158,Core Plus Bond (Bissett),0.00683,Canada Life
S176,True North (Fidelity),0.00853,Canada Life
S178,US Disciplined Value (Mackenzie),0.00483,Canada Life
S184,Global (Fidelity),0.00953,Canada Life
S191,Canadian Asset Allocation (Fidelity),0.00863,Canada Life
S195,Canadian Equity (Leith Wheeler),0.00583,Canada Life
S196,Balanced (Leith Wheeler),0.00623,Canada Life
S208,Balanced (TD Greystone),0.00553,Canada Life
S244,Global Equity Index (TDAM),0.00414,Canada Life
S261,American Equity (Beutel Goodman),0.00593,Canada Life
S269,Canadian Equity (PH&N),0.00603,Canada Life
S288,Balanced (Invesco),0.00783,Canada Life
S289,Canadian Growth (Invesco),0.00783,Canada Life
S311,Global Balanced (Jarislowsky Fraser),0.005369,Canada Life
S329,US Companies (Invesco),0.00783,Canada Life
S605,Conservative Continuum (PSG),0.00614,Canada Life
S606,Moderate Continuum (PSG),0.00615,Canada Life
S607,Balanced Continuum (PSG),0.00616,Canada Life
S608,Advanced Continuum (PSG),0.00618,Canada Life
S609,Aggressive Continuum (PSG),0.00619,Canada Life
SICB,Bond (Fiera Capital),0,Canada Life
LIBP,Global Bond (Brandywine),0.00664,Canada Life
LIEP,International Equity (Putnam),0.00683,Canada Life
LIETN,International Equity N (Templeton),0.01043,Canada Life
LIG,Cdn Fix Income Bal III (Mackenzie),0.00533,Canada Life
LINMK,Cdn Fix Income Bal II (Mackenzie),0.00533,Canada Life
LIOP,International Opportunity (JPMorgan),0.00683,Canada Life
USDVG,US Dividend (Mackenzie),0.00533,Canada Life
USEJF,US Equity (Jarislowsky Fraser),0.005362,Canada Life
USGSL,US Mid Cap Equity (Mackenzie),0.00633,Canada Life
USITD,US Index Registered (TDAM)* ,0,Canada Life
USIXG,US Index Registered (Mackenzie)*,0.00333,Canada Life
USLC,US Large Cap Core Instl (Fidelity)*,0.010131,Canada Life
USLVP,US Low Volatility (Putnam),0.00683,Canada Life
USMER,Socially Responsible US Equity (NEI),0.01103,Canada Life
USVEP,US Value Equity (Putnam),0.00683,Canada Life
SRBAL,SRI Balanced (Mackenzie),0.00783,Canada Life
SRBP,SRI Bond (Mackenzie),0.00383,Canada Life
STBP,Canadian Short Term Bond (Mackenzie),0.00383,Canada Life
TRGE,Global Equity (Invesco),0.00783,Canada Life
TRIG,Income Growth (Invesco),0.00783,Canada Life
UFIMK,Unconstrained Fixed Income (Mackenzie),0.005038,Canada Life
ULTBP,Ultra Long Term Bond (Canada Life),0.00383,Canada Life
AGGI,Tact Asset Alloc Income (Fidelity),0.00683,Canada Life
BGMB,Balanced Growth (MFS),0,Canada Life
CADRT,Cadence Retirement (PSG),0.00557,Canada Life
CGCF,Canadian Growth Company (Fidelity),0.00833,Canada Life
CNY60,Continuum Conservative 2060 (PSG),0,Canada Life
FCECC,Fundamental Canadian Equity (CC&L),0.00583,Canada Life
FITA,Fixed Income (CIBC Global AM)*,0,Canada Life
H50,Harmonized 2050 (PSG),0.00437,Canada Life
HY45,Harmonized Conservative 2045 (PSG),0,Canada Life
JPM35,Sustainable TD 2035 (JPM),0,Canada Life
LBGRL,Cdn Growth Balanced II (Mackenzie),0.00483,Canada Life
LEIG,Canadian Equity Index (Mackenzie),0.00333,Canada Life
LGREL,Canadian Lrg Cap Growth (Mackenzie),0.00483,Canada Life
LIEIT,International Equity Index (TDAM),0.00409,Canada Life
LNABG,Canadian Equity (Beutel Goodman),0.00533,Canada Life
S039,Cdn Concentrated Divid (Mackenzie),0.00483,Canada Life
S209,Fixed Income (TD Greystone),0.00543,Canada Life
SIEF,Select Intl Eq Instl (Fidelity),0.01051,Canada Life
SPIE,International Equity (Sprucegrove),0.008718,Canada Life
SRGES,SRI Global Equity (Setanta),0.00633,Canada Life
CPBF,Canadian Core Plus Bond (Fidelity),0.006736,Canada Life
FU506BRUT,Asset Allocation - Conservative,0.006067795,Industrial Alliance
FU507BRUT,Asset Allocation - Moderate,0.006067795,Industrial Alliance
FU508BRUT,Asset Allocation - Balanced,0.006067795,Industrial Alliance
FU509BRUT,Asset Allocation - Growth,0.006067795,Industrial Alliance
FU510BRUT,Asset Allocation - Aggressive Growth,0.006067795,Industrial Alliance
FU922BRUT,Portfolio Series Income (CI),0.006067795,Industrial Alliance
FU923BRUT,Portfolio Series Conservative (CI),0.006067795,Industrial Alliance
FU924BRUT,Portfolio Series Balanced (CI),0.006067795,Industrial Alliance
FU925BRUT,Portfolio Series Balanced Growth (CI),0.006067795,Industrial Alliance
FU926BRUT,Portfolio Series Growth (CI),0.006067795,Industrial Alliance
FU940BRUT,Medavie Asset Allocation - Balanced,0.006067795,Industrial Alliance
FU941BRUT,Medavie Asset Allocation - Aggressive,0.006067795,Industrial Alliance
FU240BRUT,Diversified Security,0.005748514,Industrial Alliance
FU889BRUT,Balanced Moderate Index (BlackRock),0.005748514,Industrial Alliance
FU040BRUT,Diversified,0.005748514,Industrial Alliance
FU751BRUT,Balanced (Beutel Goodman),0.005748514,Industrial Alliance
FU463BRUT,Balanced (Jarislowsky),0.005748514,Industrial Alliance
FU380BRUT,Balanced Growth (MFS),0.005748514,Industrial Alliance
FU522BRUT,Balanced (PH&N),0.005748514,Industrial Alliance
FU250BRUT,Diversified Opportunity,0.005748514,Industrial Alliance
FU462BRUT,Fidelity Canadian Asset Allocation,0.005748514,Industrial Alliance
FU944BRUT,Sustainable Balanced,0.005748514,Industrial Alliance
FU160BRUT,Dividend,0.005764836,Industrial Alliance
FU887BRUT,Canadian Dividend (Beutel Goodman),0.005764836,Industrial Alliance
FU633BRUT,Canadian Equity Value (PH&N),0.005764836,Industrial Alliance
FU871BRUT,Canadian Focused Equity (Pyramis),0.005764836,Industrial Alliance
FU464BRUT,Canadian Equity Growth,0.005764836,Industrial Alliance
FU899BRUT,Canadian Equity Q Growth (CC&L),0.005764836,Industrial Alliance
FU488BRUT,Canadian Equity (Jarislowsky),0.005764836,Industrial Alliance
FU360BRUT,Canadian Equity (MFS),0.005764836,Industrial Alliance
FU010BRUT,North American Equity,0.005764836,Industrial Alliance
FU270BRUT,Fidelity True North®,0.005764836,Industrial Alliance
FU870BRUT,Canadian Equity Small Cap,0.005764836,Industrial Alliance
FU541BRUT,Canadian Equity Small Cap (QV),0.005764836,Industrial Alliance
FU723BRUT,Canadian Equity Index (BlackRock),0.005764836,Industrial Alliance
FU593BRUT,Canadian Equity (Fiera Capital),0.005764836,Industrial Alliance
FU352BRUT,Canadian Equity Low Volatility (Optimum),0.005764836,Industrial Alliance
FU384BRUT,Canadian Ethical Equity Fossil Fuel Free (Fiera Capital),0.005764836,Industrial Alliance
FU385BRUT,Canadian Equity Fossil Fuel Free (Jarislowsky),0.005764836,Industrial Alliance
FU341BRUT,Fundamental Canadian Equity (Beutel Goodman),0.005764836,Industrial Alliance
FU862BRUT,Canadian Equity (Pyramis),0.005764836,Industrial Alliance
FU888BRUT,Canadian Equity Low Volatility (TD),0.005764836,Industrial Alliance
FU752BRUT,Canadian Equity (Beutel Goodman),0.005764836,Industrial Alliance
FU359BRUT,Fundamental Canadian Equity (Beutel Goodman),0.005764836,Industrial Alliance
FU753BRUT,Canadian Equity Index (TD),0.005764836,Industrial Alliance
FU473BRUT,Canadian Equity Opportunities (Fiera Capital),0.005764836,Industrial Alliance
FU151BRUT,Canadian Equity All Cap (Triasima),0.005764836,Industrial Alliance
FU588BRUT,Canadian Equity SRI (Meritas),0.005764836,Industrial Alliance
FU634BRUT,Canadian Equity (QV),0.005764836,Industrial Alliance
FU514BRUT,Responsible Canadian Research Equity (MFS),0.005764836,Industrial Alliance
FU170BRUT,Short Term Bond,0.004728972,Industrial Alliance
FU020BRUT,Bond,0.004728972,Industrial Alliance
FU472BRUT,Bond (Fiera Capital),0.004728972,Industrial Alliance
FU521BRUT,Bond (PH&N),0.004728972,Industrial Alliance
FU632BRUT,Core Plus Bond (PH&N),0.004728972,Industrial Alliance
FU860BRUT,Core Plus Bond (PIMCO),0.004728972,Industrial Alliance
FU453BRUT,ReturnPlus (AlphaFixe),0.004728972,Industrial Alliance
FU021BRUT,Canadian Corporate Bond,0.004728972,Industrial Alliance
FU504BRUT,Long Term Bond,0.004728972,Industrial Alliance
FU861BRUT,Core Plus Long Term Bond (PIMCO),0.004728972,Industrial Alliance
FU893BRUT,Global Fixed Income (PIMCO),0.004728972,Industrial Alliance
FU111BRUT,Floating Rate Bank Loan (AlphaFixe),0.004728972,Industrial Alliance
FU587BRUT,Bond SRI,0.004728972,Industrial Alliance
FU441BRUT,Commercial Mortgage (Addenda),0.004728972,Industrial Alliance
FU722BRUT,Canadian Bond Index (BlackRock),0.004728972,Industrial Alliance
FU383BRUT,Green Bond (AlphaFixe),0.004728972,Industrial Alliance
FU489BRUT,Emerald Canadian Bond Index (TD),0.004728972,Industrial Alliance
FU876BRUT,Global Equity Index ACWI (BlackRock),0.00723419,Industrial Alliance
FU707BRUT,Global Equity,0.00723419,Industrial Alliance
FU754BRUT,Global Equity (Sprucegrove),0.00723419,Industrial Alliance
FU390BRUT,Global Research Equity (MFS),0.00723419,Industrial Alliance
FU886BRUT,Global Equity Low Volatility ACWI (TD),0.00723419,Industrial Alliance
FU133BRUT,Global Equity (Mawer),0.00723419,Industrial Alliance
FU595BRUT,Global Equity (Fiera Capital),0.00723419,Industrial Alliance
FU331BRUT,Global Equity (Baillie Gifford),0.00723419,Industrial Alliance
FU724BRUT,Global Equity (PH&N),0.00723419,Industrial Alliance
FU235BRUT,GLOBAL EQUITY (C$-HEDGED) (FIERA CAPITAL),0.00723419,Industrial Alliance
FU236BRUT,GLOBAL EQUITY HIGH INCOME AND LOW VOLATILITY (AMUNDI),0.00723419,Industrial Alliance
FU237BRUT,GLOBAL EQUITY HIGH INCOME AND LOW VOLATILITY (C$-HEDGED)) (AMUNDI),0.00723419,Industrial Alliance
FU351BRUT,Fidelity Global Low Volatility Equity,0.00723419,Industrial Alliance
FU353BRUT,Global Equity Fossil Fuel Free (Montrusco),0.00723419,Industrial Alliance
FU456BRUT,Global Equity (Walter Scott),0.00723419,Industrial Alliance
FU386BRUT,Global Equity Fossil Fuel Free (Jarislowsky),0.00723419,Industrial Alliance
FU387BRUT,Global Stewardship Equity (Baillie Gifford),0.00723419,Industrial Alliance
FU342BRUT,Global Equity (Burgundy),0.00723419,Industrial Alliance
FU130BRUT,Global Equity Small Cap (Mawer),0.00723419,Industrial Alliance
FU609BRUT,Global Equity Small Cap (Global Alpha),0.00723419,Industrial Alliance
FU358BRUT,Global Equity Opportunistic Value (Wellington),0.00723419,Industrial Alliance
FU641BRUT,Global Equity Growth (T. Rowe Price),0.00723419,Industrial Alliance
FU465BRUT,Global Equity (Templeton),0.00723419,Industrial Alliance
FU589BRUT,Global Equity SRI (Inhance),0.00723419,Industrial Alliance
FU500BRUT,Global Equity (Hexavest),0.00723419,Industrial Alliance
FU865BRUT,Global Equity (C$-Hedged) (Hexavest),0.00723419,Industrial Alliance
FU534BRUT,Global Equity (QV),0.00723419,Industrial Alliance
FU863BRUT,Global Equity Select (Pyramis),0.00723419,Industrial Alliance
FU300BRUT,International Equity Index (BlackRock),0.008771533,Industrial Alliance
FU706BRUT,International Equity,0.008771533,Industrial Alliance
FU121BRUT,International Equity (Aberdeen),0.008771533,Industrial Alliance
FU483BRUT,International Equity (Jarislowsky),0.008771533,Industrial Alliance
FU131BRUT,International Equity (Mawer),0.008771533,Industrial Alliance
FU467BRUT,International Equity (MFS),0.008771533,Industrial Alliance
FU080BRUT,International Equity (Templeton),0.008771533,Industrial Alliance
FU852BRUT,International Equity (Hexavest),0.008771533,Industrial Alliance
FU070BRUT,Money Market,0.00333,Industrial Alliance
FU898BRUT,Emerging Markets Equity Index (BlackRock),0.006603083,Industrial Alliance
FU122BRUT,Emerging Markets (Aberdeen),0.006603083,Industrial Alliance
FU758BRUT,Emerging Markets (Templeton),0.006603083,Industrial Alliance
FU491BRUT,Balanced-Risk Allocation (Invesco),0.006603083,Industrial Alliance
FU896BRUT,Global Developed Real Estate Index (BlackRock),0.006603083,Industrial Alliance
FU540BRUT,Global Real Estate (Pyramis),0.006603083,Industrial Alliance
FU897BRUT,Global Infrastructure Equity Index (BlackRock),0.006603083,Industrial Alliance
FU757BRUT,Global Infrastructure (Lazard),0.006603083,Industrial Alliance
FU153BRUT,Global Direct Real Estate - 100 % (UBS),0.006603083,Industrial Alliance
FU152BRUT,Direct Global Real Estate - Portfolios (UBS),0.006603083,Industrial Alliance
FU233BRUT,Thematic Innovation,0.006603083,Industrial Alliance
FU781BRUT,Global Equity Small Cap (Fisher),0.006603083,Industrial Alliance
FU442BRUT,Private Debt (TD),0.006603083,Industrial Alliance
FU443BRUT,Global Direct Infrastructure - 100% (IFM),0.006603083,Industrial Alliance
FU332BRUT,Emerging Markets (Baillie Gifford),0.006603083,Industrial Alliance
